Timestamp,Artifact,Type
1656488419,A4,Patch Update
1655204577,A4,Patch Update
1654069518,A4,Patch Update
1653914745,A4,Patch Update
1686904059,A4,Patch Update
1674811068,A4,Patch Update
1688128284,A4,Patch Update
1675676525,A4,Patch Update
1675703542,A4,Patch Update
1695300324,A4,Patch Update
1689799890,A4,Patch Update
1675766107,A4,Patch Update
1675787774,A4,Patch Update
1656932891,A4,Patch Update
1656592182,A4,Patch Update
1657002100,A4,Patch Update
1656926746,A4,Patch Update
1660569497,A4,Patch Update
1675798647,A4,Patch Update
1660588958,A4,Patch Update
1662017907,A4,Patch Update
1660811943,A4,Patch Update
1658857718,A4,Patch Update
1676548079,A4,Patch Update
1615339454,A5,Patch Update
1721190632,A5,Patch Update
1714681758,A5,Patch Update
1724888304,A5,Patch Update
1709036991,A5,Patch Update
1708997623,A5,Patch Update
1709075652,A5,Patch Update
1706537534,A5,Patch Update
1701881163,A5,Patch Update
1639725456,A5,Patch Update
1581388565,A5,Patch Update
1578527742,A5,Patch Update
1635529232,A5,Patch Update
1581376816,A5,Patch Update
1592257947,A5,Patch Update
1568782905,A5,Patch Update
1571642346,A5,Patch Update
1572561567,A5,Patch Update
1578624089,A5,Patch Update
1631632213,A5,Patch Update
1566254707,A5,Patch Update
1611884536,A5,Patch Update
1615946437,A5,Patch Update
1569303013,A5,Patch Update
1596562588,A5,Patch Update
1595281212,A5,Patch Update
1618881631,A5,Patch Update
1578810623,A5,Patch Update
1605070044,A5,Patch Update
1625522242,A5,Patch Update
1582993493,A5,Patch Update
1589497393,A5,Patch Update
1611584563,A5,Patch Update
1579247631,A5,Patch Update
1593065263,A5,Patch Update
1603342110,A5,Patch Update
1583391107,A5,Patch Update
1593136713,A5,Patch Update
1596783710,A5,Patch Update
1589631849,A5,Patch Update
1593466473,A5,Patch Update
1611585078,A5,Patch Update
1598729772,A5,Patch Update
1596847148,A5,Patch Update
1611235627,A5,Patch Update
1621998165,A5,Patch Update
1665417010,A5,Patch Update
1603350105,A5,Patch Update
1598955801,A5,Patch Update
1680640914,A5,Patch Update
1609946551,A5,Patch Update
1624584113,A5,Patch Update
1602535533,A5,Patch Update
1635554618,A5,Patch Update
1651209832,A5,Patch Update
1684498642,A5,Patch Update
1690194986,A5,Patch Update
1639692605,A5,Patch Update
1557803822,A5,Patch Update
1561145891,A5,Patch Update
1633717342,A5,Patch Update
1685447310,A5,Patch Update
1558029172,A5,Patch Update
1556169464,A5,Patch Update
1569290218,A5,Patch Update
1558560627,A5,Patch Update
1689970658,A5,Patch Update
1529044220,A5,Patch Update
1559077950,A5,Patch Update
1565128890,A5,Patch Update
1536898269,A5,Patch Update
1688577105,A5,Patch Update
1568872715,A5,Patch Update
1544828111,A5,Patch Update
1539753815,A5,Patch Update
1565766308,A5,Patch Update
1552090484,A5,Patch Update
1550261064,A5,Patch Update
1559620557,A5,Patch Update
1555719663,A5,Patch Update
1553883174,A5,Patch Update
1689936983,A5,Patch Update
1502821767,A5,Patch Update
1560458507,A5,Patch Update
1499971725,A5,Patch Update
1688554283,A5,Patch Update
1458542270,A5,Patch Update
1503600996,A5,Patch Update
1512530893,A5,Patch Update
1483569102,A5,Patch Update
1689582245,A5,Patch Update
1464794565,A5,Patch Update
